Country,Occurrences
Japan,69
Germany,41
United States,23
France,17
Italy,14
Poland,13
India,12
China,10
Cuba,9
Australia,7
Libya,5
Austria,5
Philippines,5
Norway,5
Lithuania,5
Guinea,4
Israel,4
Finland,4
Greece,4
Pakistan,4
Kenya,3
Cambodia,3
Guam,3
Latvia,3
Hungary,3
Romania,3
South Africa,3
Denmark,3
Estonia,3
Solomon Islands,2
Netherlands,2
Bangladesh,2
Belgium,2
Congo,2
Singapore,2
Hong Kong,2
Egypt,2
United Kingdom,2
Ukraine,2
Albania,2
Canada,2
Sweden,1
Panama,1
Seychelles,1
Thailand,1
Sudan,1
Rwanda,1
Papua New Guinea,1
Bulgaria,1
Nigeria,1
Belarus,1
Guinea-Bissau,1
Niger,1
Mozambique,1
Mongolia,1
Mexico,1
Morocco,1
Luxembourg,1
Algeria,1
Lebanon,1
Spain,1
Angola,1
Iraq,1
Ghana,1
Afghanistan,1
